Date,Title,Content,Type
05/03/2023,How Many Times Must I Brush My Teeth,"This is the third 
time and
it’s only midday.
I can’t –
the taste of coffee,
dead grounds, just
lingering
there and I… fuck
I used
to love that feeling:
why today, what’s changed?
I’ll spit the flavour
(still sweet)
in a phlegmy ball of toothpaste
foaming
down
down the sink:
that’ll do it.
still 3- and 4- 
caffeoylquinic acids
wrap around my tongue,
twisting themselves between 
my teeth.
a slight numbness,
anxious at why these thoughts
teethe,
pushing against the roof
of my skull.
I’m sure if you were
to grind my skull,
it would come out stained
with hues of almond,
caramel and cinnamon 
but not…
not even close to an 
off, milky white.
still
I see you there,
stood waiting for your cup
as if yesterday never
set foot outside the door,
as I still cup my hands
holding the dust of my skull.",Poem
22/04/2023,"You Are a Poem, Untranslatable","You are a poem, untranslatable,
stuck between foreign words 
and characters. Enchanted spells
so ancient even the universe cannot
fathom you.

In vain, you’ll try to read,
to understand,
to scratch and pick at
the letters that have found themselves
a home - buried in the cracks
of the wrinkles of your skin.

And time will grow old, as it has always
done, 
and you’ll wait until the balloon 
pops,
hoping it’ll reveal some sacred wisdom
from inside. Instead,
the secrets of your heart will scatter themselves
across the night sky to read,
hidden behind a language you 
forgot long ago. 

You are a poem, untranslatable,
so, at best, all those shimmering crystals,
hung on threads in the deep-blue,
all they can do
is to light up your eyes
to the beauty that is you.",Poem
25/04/2023,Like a Broken Piece of Peanut,"Like a broken piece of peanut
stuck, wedged between two teeth
at the back of my jaw -
that’s what it feels like.
So instead I wish some god
would turn me into a leaf.
A single leaf lost from its tree,
so that a great wind would
whip me up and whisk me far away.

But my skin is see-through
and I can already see those
leafy veins. I am already where 
I am meant to be.",Poem
01/05/2023,May Day,"It’s all happening today—
May Day, followed by a one hour nap.
Then them drums of Morris dancers
THUDDING through dreamers’ curtains—
The heavy smell of bad bread.
Well, I’ve had worse, though I 
feel like I’m treading…
waiting for a cobble to fall through.
Though I’ve had worse. It’s true.
Time to let Fate’s bow blow a whole
and split me in two.",Poem
01/05/2023,Deserted,"What will you do
when you find yourself deserted,
not by friends or family,
but deserted by you?
As if the glue, holding the rubber 
of your shoe has melted—
left behind in the cracks 
of the streetstones.
Would you run back,
scrape it all back up,
then would you feel good?
Or would you stop, and sit outside,
to sip-slow, under the awning
outside a coffee shop,
with the sun just peeking through 
and warming
that torn heartbeat of you?",Poem
02/05/2023,For Iðunn,"Last night we talked and took flight
and found ourselves- by luck-
on solid ground where we slipped between
the pages of bound books: dog-eared 
and bruised by the ages.
And we talked, walking into
the past, under lights too dim, too 
blurred, but, in the books we took,
we heard the call: 
“I was young like you, youth-tall,
with a lifebuzz hung from the tip of my finger. 
Go sing to her and hold her in your palm.
She won’t ring her charms forever.”

Morning whistles and Sun hauls the dawn
of another day. Go see how the river runs,
and in the eyot, see how Iðunn plays.",Poem
10/05/2023,Scenes From the North,"I
We wrestle wind of Irish Sea
Atop red raw sandstone,
And gusts that wail like ghostly gales,
A far, far cry from home.
Grass purls,
The fading coastline hurls
Past tales,
Crashing from mouths of caves.
All of it now a memory,
Washed out and veiled by waves.

II
In valleys hollowed by glaciers
We walk where ages passed.
Two faint silhouettes slip and lurch
On the fells that outlast.
Giants
Turn men to marching ants,
Who search
For tarn ‘tween crag and rigg,
A sanctum in Mother Nature’s
Embrace, sweet as a fig.

III
Scampering swift over loose stone,
Falling fast from above,
With feet that weave over water,
Twisting towards the Dove.
Alive,
A sweet and sticky hive.
Shorter
Steps, the path leads up high,
As summer sun gives one last groan,
Waking a moonlit sky.

IV
The fells, in Kronos’s shadow,
Down by the reservoir,
Where the rocky trail tries to hold
Onto what still is our
Warm heart,
Beating for lakes we part.
But bold
In view, the Yorkshire dales,
Over which we trav’lers now go,
Rolling on with hay bales.

V
A path, through Yorkshire, of limestone,
A pavement from weather.
Food for acid rain under feet.
In the dales of heather,
(Harebells,
Too) the wildflower smells
So sweet,
Its fresh scent a clear wave,
Watering seeds of friendship sown,
Passing Robin Hood’s grave.

VI
On the hill, creeping into sight,
In the Eden valley,
Where a troop of cairns march on east,
More miles to the tally.
The Nine
Mark the lost borderline,
Where beasts
With devilish horns brawl.
But at the sight of those cairns, fright
Enters the eyes of all.
 
VII
Left behind, the sheep of Swaledale,
Sheep of foreign Holland,
Those Texel sheep with heavy heads,
Now stand on brawny land.
A vein,
The Swale cuts through terrain
That spreads,
Gaia’s hardened tissue
Squeezing out walkers that exhale
As Richmond comes in view.

VIII
Light illuminates the painting.
The sun burning up high,
Turns fields to flaxen gold shades
With strokes of coloured dye.
A sea
Of lapis lazuli,
That fades
Through the sky’s blues over
Malachite hedgerows, bordering
The frame lit up solar.

IX
Wheat fields replaced and left behind.
Ahead, snaking sandstone
Slides through fields of purple heather,
Whilst heat swells and cracks bone.
Sweat leaks,
As veins bulge, forming peaks.
Feathers
From owls, stuck into hats,
To shade the Sun’s tightening bind,
As pheasants run down tracks.

X
The trail levels out, turning black.
Levelling out, turning
Back the time to cinders and shale.
And the ground starts burning,
This path,
Subject to human wrath.
So frail,
Birds squawk, a broken wing,
And our screaming world turns to black,
Our requiem to sing.

XI
Through Oberon’s forest, the day
Tires as the sun dapples
Its warming touch through emerald leaves.
Each ray floats, unravels
Along
The rushing water’s song,
And weaves
Between trees that echo
The sound of dell-fairies who play,
Innocent and mellow.

XII
Ghostly mist from Northern Sea veils
Eastern coast in myst’ry,
As wandering souls creep onwards,
Burying injury.
The shore
Sings the tail of the score
With words
That sink into my chest,
Falling with the final exhale,
As time rides the wave’s crest.",Poem
10/05/2023,Pecorino Poem,"Sometimes, when I’m slicing off flakes of 
pecorino for my pasta,
I get lost in the cheese
and begin to think that I’m some great
renaissance sculptor, carving at
marble, making a masterpiece;
and before I know it,
I have enough
pecorino for my pasta.
You might think this is a poem 
about enjoying the process,
(the journey, not the end)
but it’s not. 
I just like Italian cheese.",Poem
13/05/2023,It's All Over the Cemetery Stones,"Fox covered on the hill,
we sat in your old car
facing the dusk covered town
with a duffle bag in the backseat,
thinking of our ill crowns-
it’s all over the cemetery stones.

By the grey canal
you said you hated the sound
but we laughed at the birds
drowning in their riches
as you didn’t want a lover-
it’s all over the cemetery stones

Meeting under the chemical plant,
though I never had a job
you looked at me with fallen eyes,
while the violet eye wept 
tears for the daffodils to grow-
it’s all over the cemetery stones.

You got stuck on the weekend hours, 
but you could pluck me away
under the broken streets,
or to where we got lost
in the palmed backstreets-
it’s all over the cemetery stones.

Walking under the underpass,
you would push and pull
at the threads of my jumper
as your hair rode the wind
and the wind rode the train-
it’s all over the cemetery stones.

At the traveller’s fair,
we tore up our tickets
for a chance to sing
in the cellar under the pub,
knocking on the backs of chairs-
it’s all over the cemetery stones.

Midnight punched a hole 
through your breast
as we lay in our insides
by candlelight we rose-blushed,
the twilight on our cheeks-
it’s all over the cemetery stones.

Ask me if I still care
and I’ll sit back with a beer,
reading through the gaps
of your fingers on the book 
we bought from the store-
it’s all over the cemetery stones.

The land left swollen sick,
you cried at the phone
but I know it’s true
as I watched the groom 
carry his feet from the church-
it’s all over the cemetery stones.

If this is all there was,
if you knew from the start,
if I ran across the mersey’s estuary,
if the herons all took love in flight,
if we looked with milky eyes-
it’d be all over the cemetery stones.",Poem
17/05/2023,The Days Feel Loose,"the days feel loose
as if the weeks ahead
are merely balls of wool
waiting to be knitted
made into some great thing
but they’ve been thrown about
a little too much
and so they’ve unraveled themselves
slowly… slowly
for some reason
it’s fallen to me
to be the knitter of these days
though I know 
loose days
are easier to thread
into tomorrow’s tapestry",Poem
19/05/2023,Silicon Mind,"“Maybe I’m going to live forever
or maybe this is just one last dream
before dying.”

Quando tutto è blu,
quando il cielo affonda,
la terra giocherà
e il mare canterà.
Quando inizia,
dormirai nel cuore 
del cuore di tu.",Poem
20/05/2023,A Streak of Red,"Over the back of my hand,
a bug,
smaller than a freckle,
dotted and redotted
red.

I tried to pick
the lil’ guy
up, roll him
onto another finger,
but he refused,
running around,
away.

So I brushed him
off,
and he landed
on the wooden
table.
Still.

I thought I’d killed him,
I, death-cloaked,
creaked a bony nail
towards
the red
dot.

Then, in an instance,
streaked
across the 
wood,
the remains.

Others might think
the mark to be
the ink
of a pen,
but I know 
what happened
here.",Poem
23/05/2023,The Patchwork Stones,"The patchwork stones
are the fabric of this city:
why the tourists crowd,
why the students remain in awe.

But when, in the smooth glow-
sighing- the sun runs her hair 
across the golden stones,
that’s when magic fills the eyes.",Poem
23/05/2023,They Fall Between the Leaves,"they fall between the leaves
dappled droplets of emerald
glossed light
dripping through
drawing up from a well
buried deep in the insides 
where things in the dark lie
fast asleep
snoring steadily on blankets
with hearts rising and falling on beat
and they rise
lifting their heads
from slumber
soaring out through the throat
singing to the skies
harmonising in blissful 
strawberry scented songs
they fall between the leaves
these moments of introspection
reaching beyond the skin
reaching with a hand 
that will wrap itself around 
curling fingers
in an eternal embrace",Poem
28/05/2023,Brookes,"There’s a room
at the climbing gym,
a room between two others;
sandwiched
and rainbow peppered in holds.
Some in luminous greens
oranges
yellows or
reds,
like stained glass
telling a story
not fully told-
told only in a few images spaced
decisively by a creator.

And everyone’s gripped, 
hooked,
even if only to slow down their gait,
to lift a head back,
to strain a neck,
flicking an eye,
chipping their mind
across the possibilities,
just briefly-
a little, internal mutter.
Paused static
in thought.

Some walk through this
room
and head off to the next,
off in search of something else
but some stay and flake out rope
and up and off
they go in search
of heaven on earth.",Poem
30/05/2023,Emails,"Each day,
hundreds of billions
of emails,
emails
after 
emails,
emails,
more 
and
more 
emails,
stacking up until they become too much to even look at.
Too many, too many emails to even think about:
the emails sent,
the emails received,
left in junk,
left in social,
left in promotions,
left in archive,
left read,
left unread.
Emails flying on paper airplanes darting through the air,
emails ringing little bells to keep you awake,
to wake up from your sleep covered desk nap.
And there’s so many that if you put them into an excel sheet
and did the maths,
the amount of emails you read goes to zero,
so why read them?
Dear Mrs Ema .I.L
Sorry I missed your email,
so here is an email
to send
to your junk emails.
All the best,
E. Mails",Poem
31/05/2023,I Should Really Be Buying Peanut Butter,"I should be buying
a tub of peanut butter, 
but as I brush past 
the bookshop my feet stutter.
In I buzz, to fill hunger,
where my bee-eyes dart
and honeycomb over books,
full, stomach to heart.",Poem
01/06/2023,An Evening as the OUMC Librarian,"UNIV
college shed
unlock bike
helmet on 
out the gate
cycle cycle
stop for lights
cycle cycle
indicate and bend
faster on the pedals

Social Sciences Library
helmet off
lock bike
round the revolver
shotgun past other books
sports section
stop for guide books
sit and flick
pick a few
stanage
burbage and millstone
peak limestone
at reception
these please
back out
turn right 
round the back

Law Library 
pad of paper out
pens and calculator 
formula book
engineering papers
timer on phone
and go
question three
fluid mechanics
mach numbers
concorde
thirty minutes up
mark in green
could be better
all back in the bag
scan bod card 

out to the bike
unlock
helmet on
cycle cycle 
stop for lights
come on
ok go
cycle faster 
high tempo
books bump on potholes
roundabout
round and round
indicate and bend

Iffley Road
sports centre 
helmet off
lock bike
reception
keys please
hand over bodcard
key in and turn
open locker
books in
books out
close locker
reception
hand over keys 
bodcard please
thank you 
back to the bike
unlock
helmet on
cycle cycle

Social Sciences Library
returning
round the revolver
reception
return books
back out
unlock bike 
helmet on

cycle cycle
past Radcam this time
sunset
golden hour
gears feel smooth
over the stone

UNIV
back home 
for food and sleep",Poem
02/06/2023,Exam Season Monsoon,"Exam season’s like a monsoon-
air changes- we evaporate,
turned into mushy clouds of gloom
with stress ridden hair our lone crown.

Desks we once knew now leftovers;
veiled in hurried meals, coffeed notes,
the crumbs mask any wooden odors,
past papers- hole punched, bruised inkblue.

Gown draped students all march indoors;
it’s ironic then that the sun
comes out, seducing sweet amours-
the nude sky atop Exam Schools.

But we raindanced this performance
that others watch outside the queue,
peering at white tied conformance
knowing that they too will dance soon

to this exam season monsoon.",Poem
06/06/2023,White Carnations,"Students in white carnations merge
in Schools: the arrow pointing left,
a subfusc murmuration surge,
and through they go, pens bleeding sweat.

The first, a paper lay down dead,
all thinking washed to muddy grey,
all thought in six-feet-under dread:
the voice above heads starts the test.

O great almighty time ers on,
as pens stu-stutter over desks,
the blackened crossings, answers gone,
as time is blowing out the flame.

The man, he bellows deep with air,
and sighs all wisp from tired souls,
they seated still with frozen wear,
then out they walk in muttered dirge,

and back the white carnations merge.",Poem
11/06/2023,Pink Carnations,"In gutters, pink carnations bleed,
the thunder-sky in flashing, deep
and grumbling groans, aloud they heed-
tonight is black in brooding dark.

The desk are lit by lamplight glow,
the mind withdraws beneath the rain,
as lightning cracks the roof to woe,
the crumbs of knowledge left to fade.

The days are turned to eves, and sleep
becomes a cradle, prising through
the straining daylight, letting seep,
in tired souls, a gentle calm.

The dawn washes through the windows,
the ties retied, the gowns again
are draped, students again in flows,
and knowledge blossoms from the seed,

as pink, ink washed carnations bleed.",Poem
16/06/2023,Red Carnations ,"Your red carnations thrown aside
as you go singing out of Schools,
the stress now leaving like a tide
that slowly washes from your mind.

And all that fills the days from here
are thoughts and plans of summer songs
so to the meadow drinking beer
with friends all sat around who say,

“congratulations!” and “well done!”
and “come on in, the water’s great!”
so in you dive with soaring sun
a-blazing from the roaring sky.

As morning calls and parents come
to pick up the students, like kids,
who’s time is up, the play now done,
with goodbyes and farewells, all sighed,

the red carnations curled and died.",Poem
21/06/2023,Colombian Bananas and Arabic Coffee ,"Here comes my love,
with your banana skinned sky,
your columbian sun smile.
With your coffee rinsed
breeze pouring through the door
in fragrant Arabic arabesques.
Come in, come in and rest
to the morning, hum, humming.",Poem
25/06/2023,Sunday School,"rolls around
and I roll out bed
in a duvet of sore muscles;
it is time for kinaesthetics,
time to climb the church
where my arms will become
the Empyrean.",Poem
04/07/2023,Apokalypsis,"Greek yoghurt,
a white sea, all limewashed,  
and  
cleansed woollen and
 woven 
like cumulus clouds
in robes
around the last days.

	Breath slow as trumpets voice
in all fur and
		time
	to the omega ticking
				by the seven
that 
come and go
delivered
in ink
	spread like marbled butter
over 
Ionic columns 	
			and further
				afield.

Unearthly,
	too many eyes 
			spirited 
in wax-red
light;
and the 
berries bleed hot,
dripping 
to be savoured as
everyone’s vision is 
centred.	",Poem
04/07/2023,The Winter Just Gone Was Warm,"Roses bloomed polychromatic, rooted in
the atrium, beating through the aorta.

Daisies were hand-in-hand, wrapped
around the cerebellum and cerebrum.

Tulips danced and swayed, finding 
themselves between the fascicles of muscle.

Violets blushed their petals, weaving
from lunate to proximal to distal.

Now April has arrived,
dressed in sun, but my skin
is already laced in flowers because
the winter just gone was warm.",Poem
11/07/2023,In Hours of Dayfaded and Darkest Shade,"In hours of dayfaded and darkest shade,
I move through, breaking candlelight in two,
And pause in my own shadow of Man,
Who brings himself to rise with shoulders drawn
Out, broader than the door that shuts the sky,
The starry light, away for sleep to fall.
And he, the shadow, looks to me with blank
Eyes, stretching over head. But what of it,
This bestial moment that wicks from time,
That has already flickered out to sleep?

Will I, when morning breaks, that lonely star,
That angelic island of blazing heat,
Be steadfast facing every trial strong
In mind and muscle, strained like iron true
To nature, bound by rock, where found is strength
That flows upwards from the eternal well?
Now watch and bear your sight to starlings flocked,
A greater shadow, brilliant in flight,
And wing to wing we’ll soar past Saturn’s height,
Adorned and robed in great armour of light.",Poem
26/07/2023,Transition,"movement is life’s pulse
it’s beating breast
red between two winds
and here the crows cry
in their hooded envy
they long for your blistered feet

where the land is cracked
where the rock can’t crawl
nature gifts it’s freedom in degrees
moved to you
trusted to you 
it gushes from the mountain’s crown
where thirst is left long buried
and dead-still

a transition: from one plane to the next
in a stateless state
twisted in the movement
come here where the feeling 
of soft zephyr spreads its wings
to blanket
love wishes you this

from the cradling nest of a grivet
the fossa slinks it’s way loose
to find itself bushy under umbels
of chelidonium
as spring leaks into the orange sap
of summer’s sphere

if the work pulls the wrinkles
over the waning day’s face
know that you are 
and remain 
indigenous to all orbitals
the mind
released in all directions

find a new thing 
in a space just large enough for a hand
and take it with you to some place
you never knew existed",Poem
27/07/2023,"When the Rain Pours, I Go Walking","When the rain pours, I go walking
and I look at how the concrete fills the sky,
tracing the mallard heads,
cutting it out, along the dashed skyline.
I search through the trees
to find the ginger cat glow of windows.
A waterproof becomes my home,
following me round like a shadow cocoon.
I left without putting socks on and now
I feel the damp seep under and past my toenails.
The streetlights have replaced the young night sky, 
though it’s summer and I can still find my way.
The constant dripping from my dog nosed hood
blurs this phone like a bubbled barrier
and soon I’m reduced to putting it back.
In the meantime, I’m an outhouse-on-hill
amongst the squared away housing estate.
The raindrops tap my head like tiny door knockers 
and the steady bass kick of my feet
is broken only by the passing buses.

Returning, the watermark of my walk falls to the floor.
The laptop screen outside the window fades,
moving through shades until it switches off to black.
I hang my coat from the bedroom door,
like the flayed skin of history, 
still fresh with a petrichor smell.
A history only just deceased,
waiting to be reborn with the next coming rain.
Time for tomorrow is carved out,
but it brings only a drizzle, no thicket to drench
the soil that yawns worms out of itself.
The train comes and catches the platform people,
wriggling in their shirts stuck to their backs,
with a patch of sweat like yesterday’s dregs
left to reminisce about when the rain poured.",Poem
05/08/2023,Lightbox,"In an art gallery, you stood; there and 
now, stood alone in the drafty silence 
which washed through, room to room,
beaten by the chill of those white walls-

they made the four corners which the
oil faces called home. It was in the dusty
back corner of a city, long forgotten, out
somewhere in Europe. And there, where

with everyone which you locked eyes with
across the street, under the crossing’s light
din, you mistaked people for actors and 
actresses from some noir movie. A memory

that peels at you from inside. Sat up and 
swallowed by the night, together; he would
dig around for another stickered tape. But
now you’re here with only the motionless 

stare of a foreign banker. Abandoned in 
a city you don’t even know the name of.
And the grizzled clouds, closing in, speak
in that old man’s voice. In the courtyard,

you puffed out a ball of smoke, drifting 
upwards and joining the sky, before the
night turned to slate and before the 
coming storm kicked and roared up high.",Poem
08/08/2023,The Außenalster of Hamburg,"The grey, a backdrop to the scene,
	Perfectly split in three,
The Außenalster of Hamburg
	In sight under this tree;
		I stand
	With feet in foreign land -
		Ein berg
	Of Youth’s endless freedoms
Where the rain, still fresh, is unseen,
	And its voice niemals stumm.",Poem
18/08/2023,Something Written Down,"It’s natural, after a journey away, to
want to stitch the memory deep; 
when you’ve thrust yourself, your
whole soul, and exposed it like a
heart without any bones to protect it.
You fear, more than death itself, that
the wind might pick it up when you’re
not looking, and in your aged days
you’ll be searching for it in vain, or
worse, that you won’t even think of
looking at all, as if it never even existed. 

That’s why you have to write these 
lines, and be mindfully carefree of 
if they are really “proper” poetry. So 
just write and keep on about St. Bees’ 
sandstone and the way it rubbed 
away under your fingers, about the
waves that crashed as the rain came
as if the sky were shedding tears at
your departure. Just write, just write
about scrambling up Blencathra with
it’s luminous lichen, and of sleepily
counting the Swindale sheep whilst 
pitched high up on Truss Buttress, or
crossing slabs out at Runestone Quarry.

And though it might not be as telling
as a photo or video, nor the poem be
how you intended, hoping it can do 
at least some justice, please don’t
worry yourself that time has run off
with all your belongings. You think
your possessionless but in truth you
have gained a gold more valuable 
than the light of a sunset, and after
you’ve come home, passed out in
your childhood bed, dawn can now
break and whisper you awake to a 
new light where you’ll gain more 
treasures than you thought could
ever exist; all singing arm in arm, 
shoulder to shoulder, friends of the
days in joy, companions of tomorrow.",Poem
